"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Sex_label","Survived_label","Pclass_label","side_ship","deck"
"1","0","3","male",22,1,0,7.25,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"2","1","1","female",38,1,0,71.2833,"C","Mrs","Weiblich","Überlebt","1. Klasse","Steuerbord","C"
"3","1","3","female",26,0,0,7.925,"S","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"4","1","1","female",35,1,0,53.1,"S","Mrs","Weiblich","Überlebt","1. Klasse","Steuerbord","C"
"5","0","3","male",35,0,0,8.05,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"6","0","3","male",30,0,0,8.4583,"Q","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"7","0","1","male",54,0,0,51.8625,"S","Mr","Männlich","Gestorben","1. Klasse","Backbord","E"
"8","0","3","male",2,3,1,21.075,"S","Master","Männlich","Gestorben","3. Klasse",NA,NA
"9","1","3","female",27,0,2,11.1333,"S","Mrs","Weiblich","Überlebt","3. Klasse",NA,NA
"10","1","2","female",14,1,0,30.0708,"C","Mrs","Weiblich","Überlebt","2. Klasse",NA,NA
"11","1","3","female",4,1,1,16.7,"S","Miss","Weiblich","Überlebt","3. Klasse","Backbord","G"
"12","1","1","female",58,0,0,26.55,"S","Miss","Weiblich","Überlebt","1. Klasse","Steuerbord","C"
"13","0","3","male",20,0,0,8.05,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"14","0","3","male",39,1,5,31.275,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"15","0","3","female",14,0,0,7.8542,"S","Miss","Weiblich","Gestorben","3. Klasse",NA,NA
"16","1","2","female",55,0,0,16,"S","Mrs","Weiblich","Überlebt","2. Klasse",NA,NA
"17","0","3","male",2,4,1,29.125,"Q","Master","Männlich","Gestorben","3. Klasse",NA,NA
"18","1","2","male",30,0,0,13,"S","Mr","Männlich","Überlebt","2. Klasse",NA,NA
"19","0","3","female",31,1,0,18,"S","Mrs","Weiblich","Gestorben","3. Klasse",NA,NA
"20","1","3","female",35,0,0,7.225,"C","Mrs","Weiblich","Überlebt","3. Klasse",NA,NA
"21","0","2","male",35,0,0,26,"S","Mr","Männlich","Gestorben","2. Klasse",NA,NA
"22","1","2","male",34,0,0,13,"S","Mr","Männlich","Überlebt","2. Klasse","Backbord","D"
"23","1","3","female",15,0,0,8.0292,"Q","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"24","1","1","male",28,0,0,35.5,"S","Mr","Männlich","Überlebt","1. Klasse","Backbord","A"
"25","0","3","female",8,3,1,21.075,"S","Miss","Weiblich","Gestorben","3. Klasse",NA,NA
"26","1","3","female",38,1,5,31.3875,"S","Mrs","Weiblich","Überlebt","3. Klasse",NA,NA
"27","0","3","male",30,0,0,7.225,"C","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"28","0","1","male",19,3,2,263,"S","Mr","Männlich","Gestorben","1. Klasse","Steuerbord","C"
"29","1","3","female",21,0,0,7.8792,"Q","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"30","0","3","male",30,0,0,7.8958,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"31","0","1","male",40,0,0,27.7208,"C","Don","Männlich","Gestorben","1. Klasse",NA,NA
"32","1","1","female",35,1,0,146.5208,"C","Mrs","Weiblich","Überlebt","1. Klasse","Backbord","B"
"33","1","3","female",21,0,0,7.75,"Q","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"34","0","2","male",66,0,0,10.5,"S","Mr","Männlich","Gestorben","2. Klasse",NA,NA
"35","0","1","male",28,1,0,82.1708,"C","Mr","Männlich","Gestorben","1. Klasse",NA,NA
"36","0","1","male",42,1,0,52,"S","Mr","Männlich","Gestorben","1. Klasse",NA,NA
"37","1","3","male",30,0,0,7.2292,"C","Mr","Männlich","Überlebt","3. Klasse",NA,NA
"38","0","3","male",21,0,0,8.05,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"39","0","3","female",18,2,0,18,"S","Miss","Weiblich","Gestorben","3. Klasse",NA,NA
"40","1","3","female",14,1,0,11.2417,"C","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"41","0","3","female",40,1,0,9.475,"S","Mrs","Weiblich","Gestorben","3. Klasse",NA,NA
"42","0","2","female",27,1,0,21,"S","Mrs","Weiblich","Gestorben","2. Klasse",NA,NA
"43","0","3","male",30,0,0,7.8958,"C","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"44","1","2","female",3,1,2,41.5792,"C","Miss","Weiblich","Überlebt","2. Klasse",NA,NA
"45","1","3","female",19,0,0,7.8792,"Q","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
"46","0","3","male",30,0,0,8.05,"S","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"47","0","3","male",30,1,0,15.5,"Q","Mr","Männlich","Gestorben","3. Klasse",NA,NA
"48","1","3","female",21,0,0,7.75,"Q","Miss","Weiblich","Überlebt","3. Klasse",NA,NA
